,BME,CDE,DWE,FGE,FRE,HPE,TVE,all_P
1,6,4548,0,132,113,1798,38,6635
2,7,4537,0,131,113,1793,38,6619
3,7,4554,0,131,107,1799,38,6636
4,6,4541,0,130,106,1,38,4822
5,6,4558,0,130,106,1,38,4839
6,7,4568,0,129,105,1,38,4848
7,6,4526,0,129,107,1,38,4807
8,6,4522,0,127,106,1,38,4800
9,7,4541,0,125,106,0,39,4818
10,7,4557,0,9,105,1,38,4717
11,6,4506,0,0,105,1,38,4656
12,6,4520,0,0,106,1,38,4671
13,7,4496,0,0,105,1,38,4647
14,6,4496,0,0,105,1,38,4646
15,6,4492,0,0,104,1,38,4641
16,6,4501,0,1,105,1,38,4652
17,6,4492,0,0,106,38,38,4680
18,6,4473,0,0,103,36,38,4656
19,6,4456,0,0,105,36,39,4642
20,6,4466,0,0,104,36,39,4651
21,6,4520,0,0,105,36,39,4706
22,7,4534,0,0,106,36,39,4722
23,6,4580,0,0,105,36,38,4765
24,7,4532,0,0,106,36,39,4720
25,7,4536,0,0,106,35,38,4722
26,6,4545,0,0,104,36,38,4729
27,6,4520,0,0,104,35,39,4704
28,6,4500,0,0,104,35,39,4684
29,6,4509,0,0,105,36,38,4694
30,6,4510,0,0,106,36,39,4697
31,6,4497,0,0,103,36,39,4681
32,7,4521,0,0,104,35,38,4705
33,6,4530,0,0,103,36,38,4713
34,6,4514,0,0,105,36,39,4700
35,6,4534,0,0,105,37,38,4720
36,6,4535,0,581,104,35,38,5299
37,6,4495,0,141,103,37,38,4820
38,6,4525,0,128,104,37,38,4838
39,7,4478,0,126,106,36,38,4791
40,6,4540,0,125,106,36,38,4851
41,7,4529,0,125,104,37,38,4840
42,7,4476,0,125,103,36,38,4785
43,6,4455,0,123,103,35,38,4760
44,6,4478,0,123,104,37,38,4786
45,6,4500,0,101,104,37,38,4786
46,7,4490,0,0,103,36,38,4674
47,7,4478,0,1,105,36,38,4665
48,7,274,0,0,104,37,39,461
49,7,253,0,0,106,37,37,440
50,7,259,0,0,104,37,38,445
51,429,4529,0,0,104,35,38,5135
52,410,4449,0,0,106,35,38,5038
53,430,255,0,0,104,36,38,863
54,434,252,0,0,106,36,39,867
55,424,252,0,0,105,36,38,855
56,419,263,0,0,105,35,39,861
57,430,261,0,0,103,36,38,868
58,434,269,0,0,105,36,38,882
59,437,274,0,0,104,36,38,889
60,424,273,0,0,107,37,38,879
61,333,271,0,0,106,37,38,785
62,328,275,0,0,106,35,38,782
63,325,1,0,0,106,36,38,506
64,326,0,0,0,105,36,38,505
65,329,0,0,0,105,36,39,509
66,328,0,0,0,106,36,38,508
67,324,0,0,0,105,35,38,502
68,329,0,0,6,105,36,38,514
69,325,0,0,0,105,36,39,505
70,325,0,0,0,104,35,38,502
71,329,0,0,0,106,37,39,511
72,326,0,0,0,106,36,38,506
73,325,0,0,0,105,36,38,504
74,325,0,0,145,106,35,38,649
75,326,0,0,131,106,36,38,637
76,327,1,0,128,105,36,38,635
77,326,1,0,126,106,36,38,633
78,325,0,0,125,106,37,39,632
79,329,0,0,126,104,37,38,634
80,325,0,0,125,106,35,38,629
81,328,1,0,123,106,37,38,633
82,324,0,0,201,105,36,38,704
83,323,0,0,124,106,37,38,628
84,328,0,0,6,105,36,38,513
85,323,0,0,6,113,1008,38,1488
86,326,1,0,6,113,1560,38,2044
87,325,0,0,7,113,1678,39,2162
88,325,1,0,7,114,1714,38,2199
89,326,0,0,6,114,1750,38,2234
90,323,1,0,6,113,1768,39,2250
91,322,0,0,6,113,1777,38,2256
92,323,0,0,6,113,1784,38,2264
93,325,0,0,156,106,1,39,627
94,328,1,0,140,106,1,39,615
95,321,0,0,134,105,1,38,599
96,324,0,0,134,106,1,38,603
97,325,0,0,134,106,1,38,604
98,324,1,0,134,105,1,38,603
99,326,0,0,133,106,1,38,604
100,326,1,0,131,104,1,39,602
101,7,0,0,132,106,0,38,283
102,6,0,0,131,106,1,38,282
103,7,0,0,130,106,1,38,282
104,7,1,0,130,106,1,38,283
105,7,1,0,131,106,39,38,322
106,6,1,0,130,105,38,38,318
107,7,0,0,130,107,37,38,319
108,7,1,0,129,104,37,38,316
109,7,0,0,129,106,37,38,317
110,7,0,0,7,104,36,39,193
111,7,0,0,7,106,37,38,195
112,7,0,0,7,106,37,38,195
113,7,0,0,7,105,37,39,195
114,6,1,0,7,104,36,38,192
115,7,0,0,7,105,36,39,194
116,7,0,0,7,106,38,39,197
117,7,0,0,7,107,36,38,195
118,7,0,0,7,106,36,39,195
119,7,0,0,148,106,37,38,336
120,7,0,0,135,106,36,38,322
121,7,1,0,132,106,37,38,321
122,7,0,0,129,105,36,38,315
123,7,0,0,128,106,36,39,316
124,7,0,0,126,106,36,39,314
125,6,0,0,125,106,36,39,312
126,7,0,0,124,106,36,39,312
127,7,0,0,124,106,35,39,311
128,7,0,0,122,106,37,38,310
129,7,0,0,0,106,36,39,188
130,6,0,0,0,106,37,38,187
131,6,1,0,0,106,36,39,188
132,6,1,0,0,106,37,38,188
133,7,1,0,0,104,35,38,185
134,7,0,0,0,105,37,39,188
135,7,1,0,0,106,36,39,189
136,7,0,0,0,106,36,38,187
137,7,0,0,0,115,1376,39,1537
138,6,0,0,0,114,1594,38,1752
139,7,2,0,0,114,1697,39,1859
140,7,1,0,0,113,1729,39,1889
141,7,0,0,0,114,1746,38,1905
142,6,0,0,0,114,1762,38,1920
143,7,2,0,0,114,1777,38,1938
144,6,0,0,0,114,1754,38,1912
145,7,0,0,0,112,1757,38,1914
146,7,0,0,0,113,1763,38,1921
147,7,0,0,0,114,1761,38,1920
148,7,0,0,0,115,1773,38,1933
149,6,1,0,0,113,1775,38,1933
150,6,0,0,0,114,1777,38,1935
151,7,0,0,0,113,1779,38,1937
152,7,1,0,0,114,1783,39,1944
153,6,1,0,0,114,1785,39,1945
154,7,0,0,0,114,1781,38,1940
155,6,1,0,0,113,1790,38,1948
