,DNE,CDE,HTE,B1E,FRE,BME,EQE,OFE,WOE,DWE,TVE,FGE,B2E,CWE,HPE,GRE,all_P
1,0,4548,5,0,113,6,39,19,0,0,38,132,59,0,1798,0,6777.0
2,0,4537,21,0,113,7,42,21,0,0,38,131,74,0,1793,0,6776.0
3,0,4554,5,0,107,7,39,21,0,0,38,131,73,0,1799,2,4953.0
4,0,4541,5,0,106,6,39,20,0,0,38,130,67,0,1,0,4972.0
5,0,4558,21,0,106,6,30,20,0,0,38,130,62,0,1,0,4974.0
6,0,4568,5,0,105,7,39,20,0,0,38,129,60,0,1,2,4936.0
7,0,4526,5,0,107,6,39,24,0,0,38,129,59,0,1,2,4922.0
8,0,4522,5,0,106,6,39,19,0,0,38,127,59,0,1,0,4941.0
9,0,4541,5,0,106,7,39,15,0,0,39,125,62,0,0,2,4851.0
10,0,4557,21,0,105,7,39,15,0,0,38,9,57,0,1,2,4771.0
11,0,4506,5,0,105,6,38,15,0,0,38,0,57,0,1,0,4790.0
12,0,4520,5,0,106,6,39,19,0,0,38,0,56,0,1,0,4769.0
13,0,4496,5,0,105,7,39,19,0,0,38,0,57,0,1,2,4766.0
14,0,4496,5,0,105,6,38,18,0,0,38,0,57,0,1,2,4765.0
15,0,4492,5,0,104,6,40,15,0,0,38,0,62,0,1,2,4768.0
16,0,4501,5,0,105,6,39,15,0,0,38,1,57,0,1,0,4802.0
17,0,4492,5,0,106,6,39,15,0,0,38,0,61,0,38,2,4785.0
18,0,4473,5,0,103,6,41,15,0,0,38,0,66,0,36,2,4767.0
19,0,4456,5,0,105,6,39,19,0,0,39,0,60,0,36,2,4769.0
20,0,4466,5,0,104,6,39,15,0,0,39,0,59,0,36,0,4837.0
21,0,4520,5,0,105,6,43,21,0,0,39,0,60,0,36,2,4858.0
22,0,4534,5,0,106,7,39,21,0,0,39,0,69,0,36,2,4898.0
23,0,4580,5,0,105,6,39,20,0,0,38,0,69,0,36,0,4838.0
24,0,4532,5,0,106,7,30,20,0,0,39,0,61,0,36,2,4848.0
25,0,4536,5,0,106,7,40,23,0,0,38,0,58,0,35,0,4857.0
26,0,4545,5,0,104,6,40,24,0,0,38,0,57,0,36,2,4822.0
